Digitiform gland	TS-0192
Distal colon	TS-0202
Distal colon epithelial cell	TS-0203
Distal colon epithelium	TS-0203
Distal colon mucosa	TS-1160
Distal nephron	TS-0204
Distal small intestine	TS-0205
Dormant root	TS-0206
Dorsal cochlear nucleus	TS-1187
Dorsal ganglionic sheath	TS-1197
Dorsal lip	TS-0207
Dorsal root ganglia	TS-0954
Dorsal root ganglion	TS-0954
Dorsal skin	TS-0208
Dorsal-abdominal integument	TS-0209
Dry seed	TS-0210
Ductless gland	TS-1300
Ductus ejaculatorius	TS-0211
Duodenal adenocarcinoma	TS-0212
Duodenal mucosa	TS-0213
Duodenum	TS-0214
Duodenum glandular cell	TS-1275
Duodenum glandular cells	TS-1275
Duodenum mucosa	TS-0213
Ear	TS-1165
Ear of corn	TS-0215
Ebner's gland	TS-1052
Ectocervix	TS-1098
Ectoderm	TS-0216
Ectomesenchyme	TS-1178
Ectoplacental cone	TS-0217
Egg	TS-0221
Egg jelly	TS-0218
Egg white	TS-0219
Egg yolk	TS-0220
Eggshell matrix	TS-0222
Ehrlich ascites tumor cell	TS-0223
Ejaculatory bulb	TS-0224
Electric lobe	TS-0225
Electric organ	TS-0226
Electromotor nucleus	TS-0227
Electroplax	TS-0228
Embryo	TS-0229
Embryoid bodies	TS-0230
Embryonal carcinoma	TS-0234
Embryonic	TS-0229
Embryonic brain	TS-0231
Embryonic breast	TS-0232
Embryonic callus	TS-0233
Embryonic carcinoma	TS-0234
Embryonic chondrocyte	TS-0235
Embryonic claw	TS-0236
Embryonic dorsal root ganglion	TS-0262
Embryonic ectoderm	TS-0216
Embryonic endoderm	TS-0273
Embryonic epithelium	TS-0237
Embryonic eye	TS-0238
Embryonic fibroblast	TS-0239
Embryonic floor plate	TS-0240
Embryonic foot	TS-0241
Embryonic ganglion	TS-0242
Embryonic germ cell	TS-0243
Embryonic gizzard	TS-0244
Embryonic gonad	TS-0245
Embryonic gut	TS-0248
Embryonic head	TS-0246
Embryonic heart	TS-0247
Embryonic intestinal tract	TS-0248
Embryonic intestine	TS-0248
Embryonic kidney	TS-0249
Embryonic lens	TS-0250
Embryonic limb	TS-0251
Embryonic limb bud	TS-0553
Embryonic liver	TS-0252
Embryonic lung	TS-0253
Embryonic lung fibroblast	TS-0254
Embryonic mesoderm	TS-0623
Embryonic muscle	TS-0255
Embryonic otocyst	TS-1192
Embryonic ovary	TS-0256
Embryonic pectoralis muscle	TS-0257
Embryonic retina	TS-0258
Embryonic rhabdomyosarcoma	TS-1139
Embryonic skeletal muscle	TS-0259
Embryonic skin	TS-0260
Embryonic spinal cord	TS-0261
Embryonic spinal ganglion	TS-0262
Embryonic spleen	TS-1338
Embryonic stem cell	TS-0263
Embryonic sternal cartilage	TS-0264
Embryonic stomach	TS-1152
Embryonic tail	TS-0265
Embryonic testis	TS-0266
Embryonic testis carcinoma	TS-0267
Embryonic thymus	TS-0268
Embryonic tissue	TS-0229
Embryonic tooth	TS-0269
Embryonic trophoblast	TS-1070
Embryonic Wolffian duct	TS-1124
Enamel cell	TS-0032
Enamel epithelial cell	TS-0270
Enamel epithelium	TS-0270
Enamel organ	TS-0271
Endocarp	TS-0272
Endocrine gland	TS-1300
Endocrine pancreas	TS-1302
Endocrine part of pancreas	TS-1302
Endocrine system	TS-1301
Endoderm	TS-0273
Endodermal sinus tumor	TS-1131
Endodyozoite	TS-1002
Endometrial	TS-0276
Endometrial adenocarcinoma	TS-0274
Endometrial cancer	TS-1222
Endometrial malignant tumor	TS-1222
Endometrial malignant tumour	TS-1222
Endometrial stroma	TS-1266
Endometrial stromal cell	TS-1266
Endometrial tumor	TS-0275
Endometrial tumour	TS-0275
Endometrium	TS-0276
Endometrium cancer	TS-1222
Endometrium malignant tumor	TS-1222
Endometrium malignant tumour	TS-1222
Endometrium stroma	TS-1266
Endometrium stromal cell	TS-1266
Endometrium tumor	TS-0275
Endosperm	TS-0277
Endothelial	TS-0278
Endothelial cell	TS-0278
Endothelial cells	TS-0278
Endothelial progenitor cell	TS-1204
Endothelium	TS-0278
Endozoite	TS-1002
EOM	TS-0305
Eosinophil	TS-0279
Eosinophilic granulocyte	TS-0279
EPC	TS-1204
Ependymocyte	TS-0280
Epicarp	TS-0303
Epicotyl	TS-0281
Epiderm	TS-0283
Epidermal	TS-0283
Epidermal carcinoma	TS-0282
Epidermal cells	TS-0283
Epidermal keratinocyte	TS-0500
Epidermis	TS-0283
Epidermoid carcinoma	TS-0282
Epididymal	TS-0285
Epididymal fluid	TS-0284
Epididymal glandular cell	TS-1276
Epididymis	TS-0285
Epididymis glandular cell	TS-1276
Epididymis glandular cells	TS-1276
Epigonal organ	TS-0286
Epiphyseal cartilage	TS-0287
Epiphyseal plate	TS-0426
Epithelial	TS-0288
Epithelial cancer	TS-0114
Epithelial cell	TS-0288
Epithelium	TS-0288
Epithelium of esophagus	TS-0698
Epithelium of uterine tube	TS-1316
Erythroblast	TS-0289
Erythrocyte	TS-0290
Erythroid	TS-0291
Erythroid cell	TS-0291
Erythroid lineage cell	TS-0291
Erythroleukaemia	TS-0292
Erythroleukaemic	TS-0292
Erythroleukemia	TS-0292
Erythroleukemic	TS-0292
ES cell	TS-0263
Esophageal carcinoma	TS-0697
Esophageal epithelial cell	TS-0698
Esophageal epithelium	TS-0698
Esophageal fibroblast	TS-0699
Esophageal squamous cell	TS-1250
Esophageal squamous epithelium	TS-1314
Esophagus	TS-0700
Esophagus squamous cell	TS-1250
Esophagus squamous epithelial cell	TS-1250
Esophagus squamous epithelial cells	TS-1250
Esophagus tumor	TS-0697
Etiolated bud	TS-0293
Etiolated cotyledon	TS-0294
Etiolated epicotyl	TS-0295
Etiolated hypocotyl	TS-0296
Etiolated leaf	TS-0297
Etiolated plantlet	TS-0298
Etiolated root	TS-0299
Etiolated seedling	TS-0300
Etiolated shoot	TS-0301
Ewing sarcoma	TS-0302
Ewing's	TS-0302
Ewing's sarcoma	TS-0302
Exocarp	TS-0303
Exocrine pancreas	TS-1241
Exocrine part of pancreas	TS-1241
Extraembryonic tissue	TS-0304
Extraocular muscle	TS-0305
Extrapallial fluid	TS-0306
Eye	TS-0309
Eye antennal disc	TS-0310
Eye disc	TS-0307
Eye disk	TS-0307
Eye imaginal disc	TS-0307
Eye imaginal disk	TS-0307
Eye lens	TS-0545
Eye stalk	TS-0311
Eye trabeculum	TS-1058
Eye vitreous humor	TS-0308
Eye-antennal disk	TS-0310
Eye-antennal imaginal disk	TS-0310
Eyeball	TS-0309
Eyestalk	TS-0311
Fallopian tube	TS-0732
Fallopian tube glandular cell	TS-1277
Fallopian tube glandular cells	TS-1277
Fast muscle	TS-0314
Fast skeletal muscle	TS-0314
Fast swimbladder muscle	TS-0313
Fast-twitch skeletal muscle	TS-0314
Fat	TS-0013
Fat body	TS-0315
Fat cell	TS-0013
Fat-body cell	TS-0315
Feather	TS-0316
Feather calamus	TS-0317
Feather root	TS-0318
Female accessory gland	TS-0319
Female cone	TS-0320
Female reproductive system	TS-1303
Femoral artery	TS-0321
Femoral bone	TS-0322
Femur	TS-0322
Fetal	TS-0360
Fetal adrenal gland	TS-0323
Fetal adrenal tissue	TS-0323
Fetal aorta	TS-0324
Fetal ascending colon	TS-1148
Fetal astrocyte	TS-0325
Fetal B cell	TS-0326
Fetal B lymphocyte	TS-0326
Fetal B-cell	TS-0326
Fetal B-lymphocyte	TS-0326
Fetal blood	TS-0327
Fetal blood serum	TS-0350
Fetal brain	TS-0328
Fetal brain cortex	TS-1211
Fetal breastbone	TS-0356
Fetal cartilage	TS-0329
Fetal cerebellar cortex	TS-1211
Fetal cerebellum	TS-0330
Fetal cerebellum cortex	TS-1211
Fetal cerebral cortex	TS-1211
Fetal cerebrum cortex	TS-1211
Fetal colon	TS-0331
Fetal cortex	TS-1211
Fetal cotyledon	TS-0332
Fetal epiphyseal cartilage	TS-0333
Fetal esophagus	TS-1185
Fetal eye	TS-0334
Fetal fibroblast	TS-0335
Fetal forelimb	TS-1161
Fetal gaster	TS-1203
Fetal gastric tissue	TS-1203
Fetal gonad	TS-0336
Fetal gut	TS-0339
Fetal head	TS-0337
Fetal heart	TS-0338
Fetal intestine	TS-0339
Fetal jaw	TS-0340
Fetal keratinocyte	TS-0341
Fetal kidney	TS-0342
Fetal limb	TS-0343
Fetal liver	TS-0344
Fetal lung	TS-0345
Fetal lung fibroblast	TS-0346
Fetal medulla	TS-1156
Fetal muscle	TS-0347
Fetal oesophagus	TS-1185
Fetal pallium	TS-1211
Fetal pancreas	TS-0348
Fetal pons	TS-1144
Fetal retina	TS-0349
Fetal serum	TS-0350
Fetal skeletal muscle	TS-0351
Fetal skin	TS-0352
Fetal smooth muscle	TS-0353
Fetal spinal column	TS-0354
Fetal spinal cord	TS-0354
Fetal spleen	TS-0355
Fetal sternum	TS-0356
Fetal stomach	TS-1203
Fetal testis	TS-0357
Fetal thymocyte	TS-0358
Fetal thymus	TS-0359
Fetus	TS-0360
Fiber	TS-0361
Fibroblast	TS-0362
Fibroblasts	TS-0362
Fibroma	TS-0363
Fibrosarcoma	TS-0364
Fibrotic liver	TS-0365
Fifth instar larvae	TS-0366
Fifth instar larvae cuticle	TS-1151
Fifth instar larvae cuticular epidermis	TS-1151
Filter chamber	TS-0367
First milk	TS-0167
Flank organ	TS-0368
Flavedo	TS-0369
Flight muscle	TS-0370
Floral	TS-0374
Floral bud	TS-0372
Floral meristem	TS-0373
Floral tissue	TS-0374
Floret	TS-0371
Flower	TS-0374
Flower bud	TS-0372
Flower corolla	TS-0174
Flower meristem	TS-0373
Flower perianth	TS-0759
Flower petal	TS-0778
Flower pistil	TS-0790
Flower tepal	TS-1024
Foam nest	TS-1200
Foetal brain	TS-0328
Foetal cerebellar cortex	TS-1211
Foetal cerebellum cortex	TS-1211
Foetal cerebral cortex	TS-1211
Foetal cerebrum cortex	TS-1211
Foetal cortex	TS-1211
Foetal pallium	TS-1211
Foetus	TS-0360
Foliage	TS-0540
Foliate papilla	TS-0375
Foliate papillae	TS-0375
Follicle of hair	TS-0432
Follicle of ovary	TS-0726
Follicular cell	TS-0376
Foot	TS-0377
Foot muscle	TS-0378
Foot sole tissue	TS-0379
Forebrain	TS-0380
Forebrain cortex	TS-0381
Forekidney	TS-1206
Forelimb	TS-0382
Forelimb regeneration blastema	TS-0856
Foreskin	TS-0383
Foreskin fibroblast	TS-0384
Foreskin keratinocyte	TS-0385
Forestomach	TS-0835
Foveolar epithelial cell	TS-0386
Foveolar epithelium	TS-0386
Frond	TS-0387
Frond tip	TS-0388
Frontal cortex	TS-0389
Frontal lobe	TS-0389
Fruit	TS-0392
Fruit cortical tissue	TS-0390
Fruit endocarp	TS-0272
Fruit exocarp	TS-0303
Fruit flesh	TS-0391
Fruit mesocarp	TS-0621
Fruit mesosperm	TS-0621
Fruit peel	TS-0755
Fruit pericarp	TS-0762
Fruit pulp	TS-0391
Fruiting body	TS-0393
Gall	TS-1172
Gall bladder	TS-0394
Gall bladder glandular cell	TS-1278
Gall bladder glandular cells	TS-1278
Gall bladder wall	TS-1304
Gall duct	TS-0075
Gallbladder	TS-0394
Gallbladder glandular cell	TS-1278
Gallbladder wall	TS-1304
Gametangia	TS-1215
Gametangium	TS-1215
Gamete	TS-0395
Gametophyte	TS-0396
Ganglia	TS-0397
Ganglion	TS-0397
Gaster	TS-0980
Gaster glandular cell	TS-1284
Gastric adenocarcinoma	TS-0398
Gastric antral mucosa	TS-0404
Gastric antrum	TS-0399
Gastric body	TS-0401
Gastric cancer	TS-0978
Gastric carcinoma	TS-0400
Gastric corpus	TS-0401
Gastric fundic mucosa	TS-0402
Gastric fundus	TS-0403
Gastric malignant tumor	TS-0978
Gastric mucosa	TS-0404
Gastric parietal cell	TS-0405
Gastric tissue	TS-0980
Gastric tissue glandular cell	TS-1284
Gastro-intestinal system	TS-0407
Gastrocnemius	TS-0406
Gastrointestinal system	TS-0407
Gastrointestinal tract	TS-0407
Gastrointestinal tract epithelial cell	TS-0408
Gastrointestinal tract epithelium	TS-0408
Gastrula	TS-1143
Gemma gustatoria	TS-1015
Germ	TS-0410
Germ cell	TS-0411
Germinal centre	TS-1269
Germinal epithelial cell	TS-0920
Germinal epithelium	TS-0920
Giant cell tumor of bone	TS-0722
